,fac_id,fac_name,address,city,state,zip_code,county,tel_num,hosp_type,hosp_owner,emergency,maternity,rating
0,050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,Acute Care Hospitals,Voluntary non-profit - Other,0,0,2
1,050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,(661) 949-5500,Acute Care Hospitals,Government - Hospital District or Authority,0,0,1
2,050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,(818) 502-1900,Acute Care Hospitals,Voluntary non-profit - Private,0,0,3
3,050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,Acute Care Hospitals,Proprietary,0,0,3
4,050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,Acute Care Hospitals,Voluntary non-profit - Private,0,0,4
5,050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,LOS ANGELES,(323) 583-1931,Acute Care Hospitals,Proprietary,0,0,-1
6,050103,ADVENTIST HEALTH WHITE MEMORIAL,1720 CESAR E CHAVEZ AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,(323) 268-5000,Acute Care Hospitals,Voluntary non-profit - Church,0,0,3
7,050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,(310) 900-8900,Acute Care Hospitals,Voluntary non-profit - Church,0,0,4
8,050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,(310) 319-4000,Acute Care Hospitals,Voluntary non-profit - Private,0,0,4
9,050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,(818) 885-8500,Acute Care Hospitals,Voluntary non-profit - Private,0,0,4
10,050124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91208,LOS ANGELES,(818) 790-7100,Acute Care Hospitals,Voluntary non-profit - Private,0,0,3
11,050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91405,LOS ANGELES,(818) 782-6600,Acute Care Hospitals,Voluntary non-profit - Other,0,0,2
12,050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,(626) 289-5454,Acute Care Hospitals,Proprietary,0,0,4
